""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"1"	"DDX11L1"	8	11	9	10	6	6
"2"	"WASH7P"	329	377	345	350	324	317
"3"	"MIR6859-1"	5	7	2	6	6	7
"4"	"MIR1302-2HG"	1	1	0	0	0	0
"5"	"MIR1302-2"	0	1	0	0	0	0
"6"	"FAM138A"	0	0	0	0	0	0
"7"	"OR4F5"	0	0	0	0	0	0
"8"	"LOC100996442"	54	53	53	33	39	32
"9"	"LOC729737"	54	62	54	36	41	34
"10"	"DDX11L17"	18	22	25	18	14	19
"11"	"WASH9P"	397	404	403	374	397	359
"12"	"MIR6859-2"	4	2	3	4	4	5
"13"	"LOC107985721"	0	2	0	0	2	0
"14"	"LOC112268260"	4	9	6	6	7	3
"15"	"OR4F29"	0	1	0	0	0	0
"16"	"LOC100132287"	91	88	72	62	74	51
"17"	"LOC105378947"	0	0	0	0	0	0
"18"	"LOC101928626"	0	0	0	0	0	0
"19"	"MIR12136"	18659	20997	22607	14947	18583	17549
"20"	"OR4F16"	3	3	3	1	1	2
"21"	"LOC100133331"	153	144	128	117	127	100
"22"	"LOC107984841"	31	39	25	13	26	29
"23"	"LOC107984847"	55	35	25	31	28	23
"24"	"LOC107984849"	4	5	2	3	0	4
"25"	"LOC100288069"	41	45	43	30	31	32
"26"	"LINC01409"	7	15	11	11	19	21
"27"	"FAM87B"	2	1	3	1	3	4
"28"	"LINC00115"	22	15	14	38	37	28
"29"	"LINC01128"	429	465	467	418	439	470
"30"	"LOC107984850"	0	0	0	0	0	0
"31"	"FAM41C"	3	5	4	3	3	6
"32"	"LOC284600"	111	125	116	61	91	70
"33"	"LINC02593"	180	174	152	221	222	254
"34"	"LOC107985728"	204	244	168	388	393	380
"35"	"SAMD11"	1254	1442	1385	2256	2314	2127
"36"	"NOC2L"	4242	4411	4260	4542	4534	4328
"37"	"KLHL17"	496	471	481	445	410	385
"38"	"PLEKHN1"	236	256	251	541	525	490
"39"	"PERM1"	35	44	34	124	80	111
"40"	"HES4"	442	504	412	601	538	540
"41"	"ISG15"	1690	1832	1842	2151	1982	1928
"42"	"AGRN"	13643	13831	12729	10738	11195	9914
"43"	"LOC100288175"	45	64	45	126	131	121
"44"	"LOC112267874"	15	17	22	32	36	30
"45"	"LOC105378948"	54	55	46	122	114	99
"46"	"RNF223"	7	5	7	9	10	10
"47"	"C1orf159"	524	575	513	512	555	416
"48"	"LINC01342"	0	0	0	0	0	0
"49"	"MIR200B"	1	0	0	0	0	0
"50"	"MIR200A"	0	0	0	0	0	0
"51"	"MIR429"	1	4	0	1	0	1
"52"	"TTLL10-AS1"	0	0	0	0	0	0
"53"	"TTLL10"	0	0	0	0	0	0
"54"	"TNFRSF18"	2	0	0	0	2	2
"55"	"TNFRSF4"	0	0	2	2	3	3
"56"	"SDF4"	4774	5171	5180	4993	5437	4781
"57"	"B3GALT6"	996	1242	1279	1153	1109	1116
"58"	"C1QTNF12"	13	12	20	14	7	14
"59"	"UBE2J2"	1390	1411	1593	1614	1520	1489
"60"	"LINC01786"	49	53	41	17	39	31
"61"	"SCNN1D"	160	158	162	86	92	65
"62"	"ACAP3"	1467	1524	1545	1137	1174	979
"63"	"MIR6726"	1	1	0	0	2	0
"64"	"SNORD167"	5	6	4	2	2	1
"65"	"PUSL1"	439	405	431	480	419	418
"66"	"INTS11"	1988	2134	2209	2004	2012	1841
"67"	"MIR6727"	1	3	3	1	4	1
"68"	"CPTP"	926	967	969	1172	1137	1018
"69"	"TAS1R3"	70	38	40	47	62	59
"70"	"DVL1"	2258	2266	2294	3917	3658	3365
"71"	"MIR6808"	3	3	3	4	4	6
"72"	"MXRA8"	194	197	184	294	235	254
"73"	"AURKAIP1"	2770	3023	3054	2771	2856	2513
"74"	"CCNL2"	2879	2937	2843	2747	2882	2772
"75"	"MRPL20-AS1"	536	578	574	526	536	556
"76"	"MRPL20"	1775	1863	1950	1745	1802	1723
"77"	"LOC107984868"	0	0	2	0	0	0
"78"	"ANKRD65"	0	4	2	0	0	0
"79"	"ANKRD65-AS1"	0	1	0	0	0	0
"80"	"TMEM88B"	0	2	0	0	0	0
"81"	"LINC01770"	1	4	3	4	4	3
"82"	"LOC107985729"	2	0	1	6	4	1
"83"	"VWA1"	1094	1165	1080	1027	963	884
"84"	"ATAD3C"	31	31	33	33	31	32
"85"	"ATAD3B"	181	208	205	173	232	188
"86"	"ATAD3A"	1252	1292	1180	1265	1439	1179
"87"	"TMEM240"	6	0	0	5	2	2
"88"	"SSU72"	4266	4740	4737	3962	3795	3603
"89"	"FNDC10"	419	397	399	378	370	389
"90"	"LOC105378586"	20	27	31	29	32	24
"91"	"MIB2"	671	660	651	515	535	429
"92"	"MMP23B"	49	78	73	53	54	61
"93"	"CDK11B"	1669	1865	1756	1432	1399	1317
"94"	"SLC35E2B"	2050	2067	1966	1611	1603	1562
"95"	"MMP23A"	4	9	5	2	5	5
"96"	"CDK11A"	1235	1323	1343	1037	970	891
"97"	"SLC35E2A"	757	749	750	609	703	557
"98"	"LOC112268218"	159	168	164	143	120	106
"99"	"NADK"	2059	2042	1982	1731	1815	1507
"100"	"GNB1"	14565	14403	14916	16500	16760	16232
"101"	"GNB1-DT"	6	3	6	4	5	1
"102"	"CALML6"	13	6	7	7	2	3
"103"	"TMEM52"	17	23	28	9	12	9
"104"	"CFAP74"	0	5	2	2	0	1
"105"	"LOC107984872"	0	0	0	0	0	0
"106"	"LOC105378589"	0	2	2	0	0	2
"107"	"GABRD"	11	22	20	14	6	4
"108"	"LOC105378590"	0	0	0	0	0	0
"109"	"PRKCZ-DT"	4	2	0	0	1	3
"110"	"PRKCZ"	585	636	553	449	466	499
"111"	"PRKCZ-AS1"	19	34	23	28	23	26
"112"	"FAAP20"	832	873	933	914	900	767
"113"	"LOC112268219"	92	116	83	102	85	105
"114"	"LOC105378593"	11	15	12	14	11	5
"115"	"SKI"	1660	1553	1541	4864	4531	4265
"116"	"MORN1"	174	156	186	177	173	177
"117"	"LOC100129534"	103	104	91	47	70	41
"118"	"RER1"	4210	4587	4471	3835	4187	4033
"119"	"PEX10"	1012	1048	1042	1111	1089	1047
"120"	"PLCH2"	44	41	36	49	47	44
"121"	"PANK4"	657	697	639	515	533	469
"122"	"HES5"	0	0	0	0	0	0
"123"	"TNFRSF14-AS1"	2	1	0	0	2	0
"124"	"TNFRSF14"	2	6	0	2	5	0
"125"	"LOC100996583"	0	1	0	0	1	0
"126"	"PRXL2B"	1094	1049	1065	951	856	898
"127"	"MMEL1"	140	132	106	102	83	90
"128"	"MMEL1-AS1"	2	4	0	0	2	0
"129"	"TTC34"	3	26	10	16	4	20
"130"	"LOC105378603"	0	0	0	0	0	0
"131"	"LOC105378602"	0	0	0	0	0	0
"132"	"LOC105378601"	0	0	0	0	0	0
"133"	"LOC112268220"	0	0	0	0	0	0
"134"	"LOC107985732"	0	0	0	0	0	0
"135"	"LOC105378600"	0	0	0	0	0	0
"136"	"LOC105378598"	0	0	0	0	0	0
"137"	"LOC107984904"	0	0	0	0	0	0
"138"	"LOC105378599"	0	0	0	0	0	0
"139"	"ACTRT2"	0	0	0	0	0	0
"140"	"PRDM16-DT"	2	1	0	0	5	2
"141"	"PRDM16"	8	20	2	19	35	20
"142"	"MIR4251"	0	0	0	0	0	0
"143"	"LOC105378606"	0	0	0	0	0	0
"144"	"LOC107984909"	0	0	0	0	0	0
"145"	"LOC105378605"	0	0	0	0	0	0
"146"	"LOC105378604"	0	0	0	2	0	0
"147"	"ARHGEF16"	427	471	427	478	579	499
"148"	"MEGF6"	1080	1189	1159	587	682	662
"149"	"LOC105378608"	0	0	2	4	2	1
"150"	"MIR551A"	0	0	0	0	0	0
"151"	"LOC105378607"	0	0	0	0	0	0
"152"	"TPRG1L"	1418	1660	1479	1742	1718	1809
"153"	"WRAP73"	596	706	628	558	549	581
"154"	"TP73"	22	24	19	30	31	17
"155"	"TP73-AS3"	0	0	0	0	0	0
"156"	"LOC105378609"	0	0	0	0	0	0
"157"	"TP73-AS1"	641	652	554	536	510	484
"158"	"CCDC27"	5	2	2	2	3	2
"159"	"SMIM1"	17	19	15	25	19	20
"160"	"LRRC47"	1597	1789	1770	1697	1666	1599
"161"	"CEP104"	1572	1573	1566	1697	1495	1541
"162"	"DFFB"	186	213	216	137	157	157
"163"	"LOC107984910"	25	24	19	9	22	9
"164"	"C1orf174"	631	686	631	626	671	643
"165"	"LINC01134"	6	2	12	0	5	0
"166"	"LINC01346"	0	0	4	0	0	0
"167"	"LINC01345"	0	0	0	0	0	0
"168"	"LINC02780"	0	0	2	0	0	0
"169"	"LINC01777"	0	2	4	0	0	1
"170"	"LOC105376674"	0	0	0	1	0	0
"171"	"LINC01646"	0	0	0	0	0	0
"172"	"LOC107985376"	2	2	6	0	1	0
"173"	"AJAP1"	0	0	0	0	0	0
"174"	"LINC02781"	0	0	0	0	0	0
"175"	"LOC102724429"	0	0	0	0	0	0
"176"	"LINC02782"	0	0	0	0	0	0
"177"	"LOC105376682"	0	0	0	0	0	0
"178"	"LOC107984911"	0	0	0	0	0	0
"179"	"LOC105376686"	0	0	0	0	0	0
"180"	"MIR4689"	0	0	0	0	0	0
"181"	"NPHP4"	498	541	487	529	506	483
"182"	"KCNAB2"	1898	2017	1926	1593	1676	1537
"183"	"CHD5"	35	32	35	207	177	159
"184"	"LOC105376687"	0	0	0	0	0	0
"185"	"RPL22"	12044	11690	11998	10386	9767	10155
"186"	"LOC107985733"	65	52	49	53	51	54
"187"	"RNF207-AS1"	25	24	32	53	30	22
"188"	"RNF207"	417	494	436	292	337	377
"189"	"ICMT"	6204	6024	5851	5733	5662	5845
"190"	"ICMT-DT"	33	68	52	31	46	46
"191"	"HES3"	0	0	0	0	0	0
"192"	"GPR153"	95	106	99	213	185	183
"193"	"ACOT7"	2575	2541	2650	3054	3073	2806
"194"	"HES2"	64	46	41	198	158	186
"195"	"ESPN"	11	16	23	8	15	20
"196"	"MIR4252"	0	0	0	0	0	0
"197"	"TNFRSF25"	44	57	40	68	37	37
"198"	"PLEKHG5"	155	147	135	195	213	229
"199"	"NOL9"	605	632	624	730	557	635
"200"	"TAS1R1"	4	0	4	3	4	1
"201"	"LOC107984912"	1	0	0	0	0	0
"202"	"ZBTB48"	294	311	269	253	257	244
"203"	"KLHL21"	1147	1272	1228	1567	1529	1454
"204"	"LOC107984913"	6	2	4	5	2	6
"205"	"PHF13"	640	632	579	674	722	733
"206"	"THAP3"	960	945	1027	931	989	816
"207"	"DNAJC11"	2326	2228	2230	2243	2323	2144
"208"	"LINC01672"	0	0	0	0	0	0
"209"	"CAMTA1-DT"	12	16	18	21	17	16
"210"	"CAMTA1"	828	869	913	732	762	735
"211"	"LOC105376692"	0	0	0	0	0	0
"212"	"CAMTA1-AS2"	0	0	0	0	0	0
"213"	"CAMTA1-AS1"	0	0	0	0	0	0
"214"	"LOC105376691"	0	0	0	0	0	0
"215"	"LOC105376689"	4	2	2	4	2	3
"216"	"VAMP3"	4071	4188	4396	4279	4259	4445
"217"	"PER3"	326	360	328	174	176	189
"218"	"UTS2"	0	0	0	0	2	0
"219"	"TNFRSF9"	24	37	27	36	38	42
"220"	"PARK7"	6319	6667	7223	5943	5793	6070
"221"	"ERRFI1"	5717	5455	5519	3964	3856	3703
"222"	"LOC107984915"	3	0	0	0	2	0
"223"	"LINC01714"	0	0	4	0	1	0
"224"	"LOC105376695"	0	0	5	0	2	0
"225"	"SLC45A1"	301	260	253	207	225	194
"226"	"RERE"	2479	2519	2475	3605	3915	3712
"227"	"RERE-AS1"	0	3	0	2	6	1
"228"	"SNORD128"	0	0	0	0	0	0
"229"	"ENO1"	99722	103459	105980	109896	112677	107724
"230"	"MIR6728"	3	6	142	47	7	11
"231"	"ENO1-AS1"	30	46	22	28	38	26
"232"	"LOC112268261"	80	117	81	58	38	80
"233"	"CA6"	0	0	0	0	0	0
"234"	"SLC2A7"	2	8	7	1	5	0
"235"	"SLC2A5"	4	2	2	10	7	12
"236"	"GPR157"	259	328	363	660	634	588
"237"	"MIR34AHG"	375	316	363	435	420	404
"238"	"MIR34A"	1	1	0	2	0	1
"239"	"LNCTAM34A"	36	43	44	37	29	30
"240"	"H6PD"	1764	1762	1582	1650	1824	1736
"241"	"SPSB1"	1333	1463	1410	2518	2250	2100
"242"	"LINC02606"	9	18	10	12	16	10
"243"	"SLC25A33"	410	444	468	342	430	345
"244"	"TMEM201"	772	914	801	981	1010	846
"245"	"LOC107985734"	13	12	16	9	31	5
"246"	"LOC105376712"	0	0	0	0	0	0
"247"	"PIK3CD"	425	528	424	1103	1014	940
"248"	"PIK3CD-AS1"	0	0	0	0	0	0
"249"	"PIK3CD-AS2"	76	85	87	41	54	42
"250"	"CLSTN1"	6503	6403	6149	7660	7884	7604
"251"	"CTNNBIP1"	436	515	505	608	602	678
"252"	"LOC105376717"	15	28	22	31	26	33
"253"	"LZIC"	1433	1431	1411	1177	1323	1269
"254"	"NMNAT1"	395	391	352	316	277	276
"255"	"TMEM274P"	1	0	0	1	0	1
"256"	"MIR5697"	0	0	0	2	0	0
"257"	"RBP7"	8	8	27	16	26	18
"258"	"UBE4B"	2614	2539	2495	2803	3079	2723
"259"	"KIF1B"	2890	2766	2707	2828	2987	3143
"260"	"LOC105376725"	22	23	18	11	10	13
"261"	"PGD"	61185	61987	63660	55480	56972	55586
"262"	"CENPS-CORT"	472	530	507	443	457	443
"263"	"CENPS"	530	583	551	479	490	477
"264"	"CORT"	35	51	55	32	43	40
"265"	"DFFA"	2631	2405	2538	2069	1887	2057
"266"	"PEX14"	682	732	708	600	611	602
"267"	"CASZ1"	164	175	216	263	255	220
"268"	"LOC105376733"	0	0	0	0	0	0
"269"	"LOC105376735"	0	0	0	0	0	0
"270"	"C1orf127"	2	3	0	0	0	0
"271"	"TARDBP"	7092	6794	6740	6807	6927	6900
"272"	"MASP2"	42	38	58	11	19	8
"273"	"SRM"	4028	4339	4589	4032	4230	3578
"274"	"EXOSC10"	2577	2404	2784	2598	2667	2735
"275"	"EXOSC10-AS1"	56	57	61	56	58	56
"276"	"MTOR"	3740	3328	3138	3069	2937	3105
"277"	"MTOR-AS1"	36	38	27	32	31	43
"278"	"ANGPTL7"	0	0	0	0	0	0
"279"	"UBIAD1"	1293	1352	1339	1433	1481	1452
"280"	"LOC105376737"	0	0	0	0	0	0
"281"	"LOC105376739"	0	0	0	0	0	0
"282"	"LOC105376740"	0	0	0	0	0	0
"283"	"DISP3"	5	4	9	6	6	2
"284"	"LOC112268221"	0	0	1	1	1	0
"285"	"LINC01647"	2	0	2	6	0	0
"286"	"FBXO2"	170	171	152	137	136	167
"287"	"FBXO44"	687	784	775	786	787	642
"288"	"FBXO6"	353	311	379	448	460	375
"289"	"MAD2L2"	985	1132	1161	1099	1137	1033
"290"	"DRAXIN"	13	1	2	78	68	22
"291"	"AGTRAP"	1743	1844	1985	2628	2552	2329
"292"	"C1orf167"	161	166	136	139	139	146
"293"	"C1orf167-AS1"	0	0	0	0	0	1
"294"	"MTHFR"	704	646	583	595	596	605
"295"	"CLCN6"	836	759	776	620	577	622
"296"	"NPPA-AS1"	120	139	143	96	102	92
"297"	"NPPA"	6	15	13	7	4	6
"298"	"NPPB"	0	0	0	0	2	0
"299"	"RNU5E-1"	0	0	2	0	2	0
"300"	"KIAA2013"	2016	2380	2167	2270	2345	2114
"301"	"PLOD1"	4070	4247	4486	3983	3802	3733
"302"	"MFN2"	4234	4155	4030	4306	4585	4343
"303"	"MIIP"	517	452	464	454	416	426
"304"	"MIR6729"	2	1	2	1	0	1
"305"	"TNFRSF8"	6	10	12	10	12	6
"306"	"MIR7846"	1	1	0	1	0	0
"307"	"TNFRSF1B"	18	14	18	16	19	16
"308"	"MIR4632"	0	0	0	0	0	0
"309"	"LOC107984917"	0	0	0	0	2	0
"310"	"VPS13D"	2000	1710	1583	2034	2093	2288
"311"	"SNORA59A"	3	5	3	6	8	6
"312"	"LINC02766"	0	1	0	0	0	0
"313"	"DHRS3"	271	329	330	509	518	483
"314"	"MIR6730"	0	0	2	0	0	0
"315"	"AADACL4"	0	0	0	0	0	0
"316"	"AADACL3"	0	0	0	0	0	0
"317"	"CFAP107"	0	0	0	0	0	0
"318"	"PRAMEF12"	0	0	2	0	0	0
"319"	"PRAMEF1"	0	0	0	0	0	0
"320"	"LINC01784"	0	0	0	0	0	0
"321"	"PRAMEF11"	0	0	0	0	0	0
"322"	"HNRNPCL1"	0	0	0	0	0	0
"323"	"PRAMEF2"	0	0	0	0	0	0
"324"	"PRAMEF4"	0	0	0	0	0	0
"325"	"PRAMEF10"	0	0	0	0	0	0
"326"	"PRAMEF7"	0	0	0	0	0	0
"327"	"PRAMEF6"	0	0	0	0	0	0
"328"	"PRAMEF27"	0	0	0	0	0	0
"329"	"HNRNPCL3"	0	0	1	0	0	0
"330"	"PRAMEF25"	0	0	1	0	0	0
"331"	"PRAMEF34P"	0	0	0	0	0	0
"332"	"HNRNPCL2"	0	0	0	1	0	0
"333"	"PRAMEF36P"	0	0	0	0	0	0
"334"	"PRAMEF26"	0	0	1	0	0	0
"335"	"HNRNPCL4"	1	0	1	1	0	0
"336"	"PRAMEF9"	0	0	0	0	0	0
"337"	"PRAMEF13"	0	0	0	0	0	0
"338"	"PRAMEF18"	0	0	0	0	0	0
"339"	"PRAMEF5"	0	0	0	0	0	0
"340"	"PRAMEF8"	0	0	0	0	0	0
"341"	"PRAMEF33"	0	0	0	0	0	0
"342"	"PRAMEF15"	0	0	0	0	0	0
"343"	"PRAMEF14"	0	0	0	0	0	0
"344"	"PRAMEF19"	0	0	0	0	0	0
"345"	"PRAMEF17"	0	0	0	0	0	0
"346"	"PRAMEF20"	0	0	0	0	0	0
"347"	"LRRC38"	14	6	12	40	60	41
"348"	"LOC102724856"	0	0	0	1	0	1
"349"	"LOC107984918"	1	0	1	1	4	2
"350"	"PDPN"	0	0	2	3	0	0
"351"	"LOC107984919"	0	0	0	0	0	0
"352"	"LOC105378612"	0	0	0	0	0	0
"353"	"LOC105376756"	0	0	0	0	0	0
"354"	"PRDM2"	860	821	832	1168	1172	1252
"355"	"KAZN"	162	154	160	161	118	148
"356"	"LOC107985467"	0	0	0	0	0	0
"357"	"LOC107985468"	0	0	0	0	0	0
"358"	"KAZN-AS1"	0	0	0	0	0	0
"359"	"LOC105376759"	0	0	0	0	0	0
"360"	"LOC107985469"	0	0	0	0	0	0
"361"	"TMEM51-AS1"	18	23	18	15	17	15
"362"	"TMEM51"	802	745	818	898	1066	1124
"363"	"TMEM51-AS2"	6	4	0	2	4	2
"364"	"FHAD1"	22	12	12	13	8	11
"365"	"FHAD1-AS1"	0	3	3	6	0	0
"366"	"EFHD2-AS1"	3	2	6	1	2	8
"367"	"EFHD2"	2038	2252	2269	2180	1989	1825
"368"	"CTRC"	2	1	3	0	0	0
"369"	"CELA2A"	0	0	1	0	0	0
"370"	"LOC105376767"	2	0	1	0	0	0
"371"	"CELA2B"	6	2	7	5	5	1
"372"	"CASP9"	516	581	581	391	344	332
"373"	"DNAJC16"	1103	982	976	954	948	1072
"374"	"SCARNA21B"	0	0	0	0	0	0
"375"	"AGMAT"	758	683	742	663	623	719
"376"	"DDI2"	1300	1182	1089	2621	2531	2629
"377"	"RSC1A1"	240	240	204	476	503	520
"378"	"PLEKHM2"	1523	1600	1539	1958	1998	1794
"379"	"SLC25A34"	19	26	12	15	13	23
"380"	"SLC25A34-AS1"	2	1	1	4	2	6
"381"	"TMEM82"	0	8	0	0	0	2
"382"	"FBLIM1"	1184	1264	1150	1793	1693	1657
"383"	"UQCRHL"	67	71	57	90	59	70
"384"	"SPEN-AS1"	168	206	172	109	138	159
"385"	"SPEN"	2929	2598	2361	3910	3984	3977
"386"	"ZBTB17"	591	660	697	791	758	732
"387"	"SRARP"	2	2	0	4	6	8
"388"	"HSPB7"	1	4	2	7	13	12
"389"	"CLCNKA"	0	2	1	8	15	11
"390"	"CLCNKB"	0	6	6	6	0	6
"391"	"FAM131C"	315	404	390	464	396	328
"392"	"EPHA2"	5781	6284	6154	10191	10126	9009
"393"	"EPHA2-AS1"	38	53	28	51	82	79
"394"	"ARHGEF19"	264	293	291	272	260	244
"395"	"ANO7L1"	45	33	29	24	25	16
"396"	"CPLANE2"	140	81	85	102	87	75
"397"	"FBXO42"	830	846	850	681	661	694
"398"	"SZRD1"	3774	3517	3756	4446	4071	3887
"399"	"SPATA21"	2076	1900	2079	2271	2195	2174
"400"	"NECAP2"	1171	1117	1152	1297	1292	1189
"401"	"LINC01772"	33	25	13	34	18	33
"402"	"CROCCP3"	47	50	68	61	67	68
"403"	"RNU1-1"	0	0	0	0	0	0
"404"	"TRN-GTT5-1"	0	0	0	0	0	0
"405"	"LINC01783"	19	19	20	10	10	12
"406"	"TRE-TTC4-1"	2	2	3	2	0	2
"407"	"TRG-CCC1-1"	0	0	0	0	0	0
"408"	"NBPF1"	1601	1447	1393	1241	1229	1313
"409"	"LOC105376794"	449	480	410	393	439	413
"410"	"CROCCP2"	301	321	280	283	281	223
"411"	"MST1P2"	116	118	146	75	84	65
"412"	"LOC107985736"	3	6	3	3	3	0
"413"	"RNU1-3"	0	0	0	0	1	0
"414"	"TRG-CCC4-1"	0	0	0	0	0	0
"415"	"ESPNP"	0	0	0	0	0	0
"416"	"TRG-CCC5-1"	0	0	0	0	0	0
"417"	"RNU1-4"	0	0	0	0	1	0
"418"	"MST1L"	37	40	42	15	21	19
"419"	"MIR3675"	0	0	0	0	0	0
"420"	"TRG-CCC1-2"	0	0	0	0	0	0
"421"	"LOC112267871"	20	29	41	12	17	17
"422"	"TRE-TTC3-1"	1	6	4	1	2	1
"423"	"TRN-GTT13-1"	0	0	0	0	0	0
"424"	"LOC105376805"	252	271	250	213	223	238
"425"	"TRN-GTT4-1"	0	0	0	0	0	0
"426"	"RNU1-2"	0	0	1	0	1	0
"427"	"CROCC"	359	418	297	357	304	284
"428"	"MFAP2"	2	1	0	28	16	24
"429"	"LOC105376806"	0	0	0	3	3	4
"430"	"ATP13A2"	1830	1995	1775	2663	2555	2415
"431"	"SDHB"	3188	3246	3271	2812	3080	3126
"432"	"PADI2"	100	99	102	114	118	119
"433"	"LOC105376808"	0	0	0	0	0	0
"434"	"LINC02783"	3	2	17	7	6	8
"435"	"PADI1"	142	189	165	189	160	167
"436"	"PADI3"	53	66	43	45	51	39
"437"	"MIR3972"	0	0	0	0	0	0
"438"	"PADI4"	0	0	4	2	0	0
"439"	"PADI6"	0	0	0	0	0	0
"440"	"RCC2"	4036	4040	3971	5268	5276	5117
"441"	"ARHGEF10L"	1068	1126	1028	1077	1096	1060
"442"	"LINC02810"	0	0	0	0	0	0
"443"	"ACTL8"	51	51	53	65	40	54
"444"	"LOC105376809"	0	0	0	0	0	0
"445"	"LOC105376812"	0	0	0	0	0	0
"446"	"LINC01654"	0	0	0	0	0	0
"447"	"IGSF21"	0	0	0	0	0	0
"448"	"IGSF21-AS1"	0	0	0	0	0	0
"449"	"KLHDC7A"	655	773	647	284	330	280
"450"	"PAX7"	812	828	918	839	859	890
"451"	"TAS1R2"	0	0	0	0	0	0
"452"	"ALDH4A1"	980	936	815	908	924	861
"453"	"MIR4695"	0	0	0	0	0	0
"454"	"MIR1290"	0	0	0	0	0	0
"455"	"IFFO2"	697	705	586	1125	1208	1243
"456"	"LOC105376815"	1	0	2	2	1	0
"457"	"UBR4"	8113	7024	7090	7536	8253	7930
"458"	"EMC1-AS1"	115	102	100	82	108	96
"459"	"EMC1"	2982	3053	2903	2487	2695	2740
"460"	"MRTO4"	2263	2199	2452	1975	2146	2059
"461"	"AKR7L"	15	28	10	9	8	13
"462"	"AKR7A3"	9	14	15	11	14	6
"463"	"LOC100506730"	115	85	109	124	113	83
"464"	"AKR7A2"	1580	1474	1449	1379	1309	1234
"465"	"SLC66A1"	872	965	921	1019	951	981
"466"	"CAPZB"	4842	4824	5143	4878	4785	4589
"467"	"LOC105376819"	0	0	0	0	0	0
"468"	"LOC105376818"	0	0	0	0	0	0
"469"	"LOC105376817"	0	0	0	0	0	0
"470"	"MICOS10-DT"	0	0	0	2	0	0
"471"	"MICOS10"	1117	1163	1164	1162	1213	1154
"472"	"MICOS10-NBL1"	731	787	747	817	735	721
"473"	"RPS14P3"	2	6	5	11	3	17
"474"	"NBL1"	620	641	615	655	591	589
"475"	"HTR6"	10	10	6	4	2	2
"476"	"TMCO4"	466	472	505	396	402	431
"477"	"RNF186"	0	0	0	0	0	0
"478"	"LOC105376823"	2	0	0	0	0	0
"479"	"OTUD3"	274	352	292	241	275	311
"480"	"PLA2G2E"	0	0	0	0	0	0
"481"	"PLA2G2A"	10	15	4	8	2	6
"482"	"PLA2G5"	0	0	0	0	0	0
"483"	"PLA2G2D"	0	0	0	0	0	0
"484"	"PLA2G2F"	0	0	0	0	0	0
"485"	"PLA2G2C"	0	0	0	0	0	0
"486"	"UBXN10"	2	0	0	0	0	0
"487"	"UBXN10-AS1"	0	0	0	0	0	0
"488"	"LOC105376825"	0	0	0	0	0	0
"489"	"LOC105376826"	0	0	0	0	0	0
"490"	"LINC01757"	0	0	0	0	0	0
"491"	"LOC105376828"	0	0	0	0	0	0
"492"	"VWA5B1"	0	0	0	0	0	0
"493"	"LINC01141"	0	0	0	0	2	2
"494"	"CAMK2N1"	3583	3887	4036	4326	4221	3920
"495"	"MUL1"	1689	1677	1559	1846	1859	1777
"496"	"FAM43B"	84	94	100	108	109	96
"497"	"CDA"	371	498	487	651	640	574
"498"	"PINK1"	1284	1332	1304	1571	1564	1335
"499"	"MIR6084"	66	57	70	61	76	52
"500"	"PINK1-AS"	1478	1502	1538	1549	1593	1472
"501"	"DDOST"	8749	8777	9009	8705	8743	8672
"502"	"KIF17"	33	31	51	23	35	34
"503"	"SH2D5"	428	396	359	221	267	247
"504"	"LOC112268222"	1738	1748	1808	1442	1487	1431
"505"	"HP1BP3"	7082	6729	6478	5719	5952	5917
"506"	"EIF4G3"	3435	3169	2996	2790	2851	2940
"507"	"LOC105376830"	3	7	6	2	6	4
"508"	"LOC105376829"	0	0	2	0	2	0
"509"	"MIR1256"	0	0	0	0	0	1
"510"	"ECE1"	7133	6845	6562	11614	11785	11419
"511"	"ECE1-AS1"	26	11	12	21	32	13
"512"	"LOC105376832"	0	0	0	0	0	0
"513"	"NBPF3"	596	495	591	557	602	551
"514"	"ALPL"	16	29	28	170	147	163
"515"	"LINC02596"	1	3	2	5	8	4
"516"	"RAP1GAP"	7919	8207	8038	7347	7506	7260
"517"	"USP48"	1888	1782	1789	1311	1482	1628
"518"	"LDLRAD2"	754	740	722	697	707	596
"519"	"HSPG2"	6320	5740	5151	5366	5734	5207
"520"	"CELA3B"	0	0	0	0	0	0
"521"	"CELA3A"	0	0	0	0	0	0
"522"	"LINC01635"	11	8	2	14	6	16
"523"	"LINC00339"	610	719	664	658	712	661
"524"	"CDC42-AS1"	23	18	20	21	17	21
"525"	"CDC42"	7328	7123	7101	7972	8173	8108
"526"	"WNT4"	86	134	117	132	106	121
"527"	"LOC105376845"	30	19	21	19	21	28
"528"	"LOC105376850"	3	2	0	2	1	0
"529"	"LOC107985377"	0	0	2	0	0	0
"530"	"MIR4418"	0	0	0	0	0	0
"531"	"LOC105376856"	2	2	2	0	1	0
"532"	"ZBTB40"	1289	1255	1255	1117	1198	1198
"533"	"EPHA8"	0	1	0	2	0	0
"534"	"MIR6127"	0	0	0	0	0	0
"535"	"C1QA"	0	0	0	0	2	0
"536"	"C1QC"	0	0	0	0	0	0
"537"	"C1QB"	0	0	0	0	0	0
"538"	"EPHB2"	2284	2230	2193	7008	6753	6574
"539"	"MIR4684"	0	0	0	0	0	0
"540"	"MIR4253"	42	35	40	124	130	92
